18640201;54700930;2016;6;5/31/2016 2:04;6/5/2016 16:18;670;1504;Surabaya;Kaohsiung;1;1;387985;Donau Trader;fully cellular containership;38080;5.593055556
18836358;46447826;2014;6;6/3/2014 22:50;6/9/2014 13:05;5393;830;St. Petersburg;Rotterdam;1;1;9058634;;fully cellular containership;13000;5.59375
18870863;46398561;2014;6;5/29/2014 19:24;6/4/2014 9:40;4042;2664;Callao;San Antonio(CHL);1;1;10996186;;fully cellular containership;116079;5.594444444
18545229;48276134;2014;11;11/16/2014 3:05;11/21/2014 17:21;3010;1949;Agadir;Kiel;1;1;364790;Helmut;fully cellular containership;11272;5.594444444
18572646;50414972;2015;6;6/1/2015 2:09;6/6/2015 16:25;4337;115;Chiwan;Port Klang;1;1;366687;X-Press Karakoram;fully cellular containership;37934;5.594444444
18596969;50433576;2015;6;6/2/2015 17:54;6/8/2015 8:11;3529;4303;Ho Chi Minh City;Incheon;1;1;370402;Cape Forby;fully cellular containership;20308;5.595138889
18647804;54171549;2016;4;4/15/2016 7:43;4/20/2016 22:00;1182;3272;Shanghai;Laem Chabang;1;1;393124;Kyoto Tower;fully cellular containership;21975;5.595138889
18695280;54247014;2016;4;4/22/2016 3:07;4/27/2016 17:24;1182;1504;Shanghai;Kaohsiung;1;1;563095;;fully cellular containership;50466;5.595138889
18683414;54905245;2016;6;6/16/2016 12:00;6/22/2016 2:17;5152;1182;Davao;Shanghai;1;1;476613;;fully cellular containership;33726;5.595138889
18682671;49783603;2015;4;4/9/2015 9:31;4/14/2015 23:48;2445;4337;Jakarta;Chiwan;1;1;475641;;fully cellular containership;50490;5.595138889
18080716;46421891;2014;6;6/1/2014 17:09;6/7/2014 7:27;1054;1182;Slavyanka;Shanghai;1;1;275084;YM Kaohsiung;fully cellular containership;48900;5.595833333
18687989;46561077;2014;6;6/14/2014 6:17;6/19/2014 20:35;115;2978;Port Klang;Colombo;1;1;516469;;fully cellular containership;34264;5.595833333
18098322;46644029;2014;6;6/21/2014 20:42;6/27/2014 11:00;6166;4604;Jawaharlal Nehru;Jeddah;1;1;275632;Fowairet;fully cellular containership;49844;5.595833333
18071426;48821496;2015;1;1/6/2015 13:00;1/12/2015 3:18;576;2935;Antwerp;Liverpool;1;1;273308;Santa Giovanna;fully cellular containership;30201;5.595833333
18696192;49911524;2015;4;4/19/2015 23:27;4/25/2015 13:45;115;4761;Port Klang;Kochi(IND);1;1;569030;;fully cellular containership;52316;5.595833333
18185013;54149395;2016;4;4/14/2016 21:51;4/20/2016 12:09;120;611;Jayapura;Makassar;1;1;281860;Tanto Tangguh;fully cellular containership;12288;5.595833333
18079349;54760368;2016;6;6/6/2016 12:30;6/12/2016 2:48;3315;115;Yangon;Port Klang;1;1;274767;Inle Star;fully cellular containership;12400;5.595833333
18529931;48968386;2015;1;1/22/2015 6:31;1/27/2015 20:50;8048;6036;Tanjung Pelepas;Mongla;1;1;362607;Vega Fynen;fully cellular containership;13803;5.596527778
18463670;50660714;2015;6;6/21/2015 3:31;6/26/2015 17:50;185;2346;Jebel Ali;Djibouti;1;1;356349;Kota Kaya;fully cellular containership;39932;5.596527778
18448559;53244341;2016;1;1/24/2016 17:20;1/30/2016 7:39;115;4337;Port Klang;Chiwan;1;1;355320;Xin Beijing;fully cellular containership;111571;5.596527778
18530421;54157376;2016;4;4/14/2016 4:43;4/19/2016 19:02;4761;185;Kochi(IND);Jebel Ali;1;1;362805;Frisia Goteborg;fully cellular containership;39345;5.596527778
18280729;50489544;2015;6;6/6/2015 13:50;6/12/2015 4:10;7866;1165;Fuqing;Singapore;1;1;314602;Arnold Schulte;fully cellular containership;40995;5.597222222
18581671;53143320;2016;1;1/14/2016 7:30;1/19/2016 21:50;1165;1504;Singapore;Kaohsiung;1;1;367892;Maersk Salina;fully cellular containership;107978;5.597222222
18206786;49757542;2015;4;4/5/2015 1:00;4/10/2015 15:20;4827;2782;Balboa;Port Everglades;1;1;290390;Madeleine;fully cellular containership;5537;5.597222222
18063879;49825679;2015;4;4/11/2015 19:45;4/17/2015 10:05;3521;2248;La Spezia;Felixstowe;1;1;272844;MSC Katyayni;fully cellular containership;68363;5.597222222
18339328;50450520;2015;6;6/3/2015 21:25;6/9/2015 11:45;4042;4827;Callao;Balboa;1;1;335712;Kiel Trader;fully cellular containership;33716;5.597222222
18499640;53225895;2016;1;1/22/2016 16:06;1/28/2016 6:26;2101;3458;Barcelona;Valencia;1;1;358673;FESCO Askold;fully cellular containership;13817;5.597222222
